Contact Person,DOB,Phone No.,Enterprise Name,Legal Structure,Business PAN,GSTIN,Udyam Reg. No.,District,State
Pooja Das,21-12-1974,+91 98131 88034,ZenPack Logistics Enterprises,Enterprises,WTXPD2359J,33WTXPD2359J7Z5,UDYAM-TN-27-7184691,Salem,Tamil Nadu
Arjun Nair,27-05-1983,+91 90256 63291,Evergreen Metal Castings LLP,LLP,SWCFE1379R,24SWCFE1379R2Z2,UDYAM-GJ-06-1434352,Surat,Gujarat
Neha Verma,03-07-1986,+91 75337 80635,Shri Ganesh Plastics Pvt Ltd,Pvt Ltd,ONRCS4206S,27ONRCS4206S3ZS,UDYAM-MH-01-3427324,Mumbai,Maharashtra
Sneha Kulkarni,17-09-1971,+91 70013 70059,Matrix Bio Remedies Enterprises,Enterprises,WHOPK8235K,08WHOPK8235K1ZR,UDYAM-RJ-35-1535361,Kota,Rajasthan
Vikram Mehta,03-06-1969,+91 76508 80360,Matrix Techno Fab Pvt Ltd,Pvt Ltd,WGKCM7122C,09WGKCM7122C5ZJ,UDYAM-UP-05-9648927,Lucknow,Uttar Pradesh
Nikhil Mehta,21-06-1991,+91 96713 12485,Matrix Infotech Enterprises,Enterprises,KCOPM7174Q,32KCOPM7174Q8ZT,UDYAM-KL-26-9786280,Kozhikode,Kerala
Gaurav Singh,14-02-1990,+91 66670 54994,Lotus Polymers Enterprises,Enterprises,SJDPS3563O,27SJDPS3563O4ZK,UDYAM-MH-19-3513512,Pune,Maharashtra
Gaurav Patel,20-12-1999,+91 81388 46814,Vanguard Metal Castings LLP,LLP,EYDFV2663G,33EYDFV2663G5Z2,UDYAM-TN-02-3509083,Madurai,Tamil Nadu
Pooja Verma,28-08-1996,+91 93854 77077,Shri Ganesh Techno Fab LLP,LLP,KPEFS5262Z,29KPEFS5262Z3ZH,UDYAM-KR-24-4945724,Mangaluru,Karnataka
Rohan Reddy,26-09-1968,+91 86747 38000,EcoClean Textiles LLP,LLP,NSUFE3707W,19NSUFE3707W9Z7,UDYAM-WB-15-6192730,Kolkata,West Bengal
Vikram Iyer,30-12-1991,+91 73388 75969,ZenPack Infotech Enterprises,Enterprises,RZGPI2580L,19RZGPI2580L7ZN,UDYAM-WB-19-1434452,Kolkata,West Bengal
Pooja Reddy,07-09-1991,+91 79896 51640,Apex Solar Solutions Pvt Ltd,Pvt Ltd,DEECA8320O,36DEECA8320O4ZS,UDYAM-TS-05-1268763,Warangal,Telangana
Priya Das,01-06-1968,+91 89519 93978,BlueCraft Solar Solutions Enterprises,Enterprises,QJVPD6797Z,29QJVPD6797Z3ZA,UDYAM-KR-02-6645871,Mangaluru,Karnataka
Neha Mehta,29-08-1984,+91 80718 47138,Surya Logistics LLP,LLP,MGGFS3118X,36MGGFS3118X5ZK,UDYAM-TS-11-1542567,Hyderabad,Telangana
Sneha Chauhan,29-10-1972,+91 83630 53231,Trident Gear Works Enterprises,Enterprises,IPWPC8591I,27IPWPC8591I7ZT,UDYAM-MH-24-5127943,Nashik,Maharashtra
Arjun Mehta,24-11-1985,+91 67550 57787,EcoClean Solar Solutions LLP,LLP,EDGFE5221H,36EDGFE5221H9ZM,UDYAM-TS-23-1121826,Nizamabad,Telangana
Nikhil Reddy,18-02-1993,+91 86848 51355,BlueCraft Solar Solutions Pvt Ltd,Pvt Ltd,GSICB6952P,19GSICB6952P8ZR,UDYAM-WB-21-6805689,Durgapur,West Bengal
Rajesh Reddy,14-12-1985,+91 70415 68652,Precision Plastics Enterprises,Enterprises,MCWPR4781L,33MCWPR4781L6ZW,UDYAM-TN-01-9776941,Coimbatore,Tamil Nadu
Neha Singh,16-12-1997,+91 72380 38437,Lotus Bio Remedies Pvt Ltd,Pvt Ltd,VSTCL2619X,27VSTCL2619X9ZM,UDYAM-MH-19-4259875,Mumbai,Maharashtra
Tanvi Iyer,08-01-1997,+91 73637 62557,Pioneer Plastics Enterprises,Enterprises,BBGPI3778Q,32BBGPI3778Q1ZN,UDYAM-KL-08-8940179,Thiruvananthapuram,Kerala
Rohan Chatterjee,15-03-1968,+91 84763 58336,Pioneer Logistics LLP,LLP,JZRFP5465W,27JZRFP5465W8ZE,UDYAM-MH-13-3598783,Mumbai,Maharashtra
Gaurav Bose,12-05-1978,+91 64870 48279,Lotus Agro Mills Enterprises,Enterprises,EKAPB9040R,33EKAPB9040R7ZK,UDYAM-TN-20-4592225,Chennai,Tamil Nadu
Sneha Patel,04-07-1981,+91 80787 90138,Nova Solar Solutions Pvt Ltd,Pvt Ltd,GXJCN3709Z,19GXJCN3709Z9Z1,UDYAM-WB-23-8309907,Siliguri,West Bengal
Neha Verma,14-09-1972,+91 81566 50958,Vertex Agro Mills Enterprises,Enterprises,TFZPV3733T,36TFZPV3733T5ZB,UDYAM-TS-06-7880365,Hyderabad,Telangana
Arjun Patel,21-04-1981,+91 99914 27921,Evergreen Agro Mills LLP,LLP,CVAFE7850A,08CVAFE7850A9ZR,UDYAM-RJ-09-5071956,Udaipur,Rajasthan
Rohan Patel,08-11-1966,+91 78961 22498,Apex Gear Works Enterprises,Enterprises,ISNPP6239Q,09ISNPP6239Q6ZZ,UDYAM-UP-19-5844490,Varanasi,Uttar Pradesh
Priya Sharma,31-03-1980,+91 82710 53504,Evergreen Bio Remedies Enterprises,Enterprises,RAPPS8841B,36RAPPS8841B3Z7,UDYAM-TS-01-8505714,Nizamabad,Telangana
Rohan Singh,19-03-1992,+91 98233 68806,Shri Ganesh Agro Mills Pvt Ltd,Pvt Ltd,LLFCS6045H,32LLFCS6045H7ZA,UDYAM-KL-29-6173885,Thiruvananthapuram,Kerala
Siddharth Verma,04-08-1969,+91 63917 70415,BlueCraft Polymers Enterprises,Enterprises,XFQPV3944T,33XFQPV3944T7ZF,UDYAM-TN-01-9668840,Salem,Tamil Nadu
Ananya Singh,03-12-1986,+91 85210 55060,Precision Textiles Enterprises,Enterprises,GMPPS8921I,27GMPPS8921I2ZO,UDYAM-MH-05-6839093,Nashik,Maharashtra
Nikhil Mehta,29-11-1996,+91 92707 45847,Apex Agro Mills LLP,LLP,AFPFA6807Q,36AFPFA6807Q9ZZ,UDYAM-TS-04-5678810,Warangal,Telangana
Siddharth Joshi,10-12-1980,+91 61389 23271,ZenPack Metal Castings Enterprises,Enterprises,WVMPJ5442C,23WVMPJ5442C4Z9,UDYAM-MP-09-7792489,Indore,Madhya Pradesh
Rohan Bose,09-04-1989,+91 61291 07780,Matrix Bio Remedies Pvt Ltd,Pvt Ltd,MTRCM2102K,36MTRCM2102K5ZC,UDYAM-TS-35-8015894,Hyderabad,Telangana
Rahul Iyer,06-06-1996,+91 99508 04146,Vertex Logistics Pvt Ltd,Pvt Ltd,WKHCV9287K,24WKHCV9287K3ZP,UDYAM-GJ-33-6799078,Surat,Gujarat
Pooja Reddy,05-05-1976,+91 87287 94473,Lotus Logistics Pvt Ltd,Pvt Ltd,XXMCL6505A,29XXMCL6505A4ZT,UDYAM-KR-03-5397077,Mysuru,Karnataka
Nikhil Bose,04-07-1977,+91 62400 55151,Surya Metal Castings LLP,LLP,FCEFS5347C,08FCEFS5347C6Z9,UDYAM-RJ-02-2555857,Jodhpur,Rajasthan
Rajesh Iyer,10-06-1993,+91 87934 89661,Matrix Plastics Enterprises,Enterprises,KAJPI9588H,24KAJPI9588H2ZY,UDYAM-GJ-11-1532713,Ahmedabad,Gujarat
Gaurav Gupta,31-12-1995,+91 73345 76955,EcoClean Logistics Pvt Ltd,Pvt Ltd,INOCE2664O,36INOCE2664O7ZP,UDYAM-TS-20-9493459,Hyderabad,Telangana
Siddharth Das,14-09-1979,+91 66639 21134,Pioneer Solar Solutions LLP,LLP,FTXFP9520J,36FTXFP9520J3Z2,UDYAM-TS-35-1583418,Nizamabad,Telangana
Aarav Chauhan,17-02-1966,+91 90363 30127,Surya Bio Remedies Pvt Ltd,Pvt Ltd,ZYICS5821O,33ZYICS5821O5ZE,UDYAM-TN-19-3146982,Madurai,Tamil Nadu
Rohan Singh,28-01-2000,+91 64739 73316,EcoClean Polymers LLP,LLP,WNSFE9042H,27WNSFE9042H9ZB,UDYAM-MH-23-9918444,Mumbai,Maharashtra
Gaurav Chauhan,22-08-1981,+91 90453 61924,Shri Ganesh Metal Castings LLP,LLP,HOEFS7884U,29HOEFS7884U3ZK,UDYAM-KR-05-3567105,Hubballi,Karnataka
Neha Chatterjee,08-03-1980,+91 91089 00047,ZenPack Metal Castings LLP,LLP,ZTWFZ8846U,09ZTWFZ8846U3ZA,UDYAM-UP-19-8738849,Lucknow,Uttar Pradesh
Vikram Patel,22-09-1976,+91 94959 80869,Vanguard Plastics LLP,LLP,MLZFV2386J,33MLZFV2386J6ZC,UDYAM-TN-15-8353348,Salem,Tamil Nadu
Sneha Gupta,27-10-1991,+91 71824 77129,ZenPack Gear Works LLP,LLP,FSLFZ2239I,24FSLFZ2239I7Z2,UDYAM-GJ-33-2500986,Surat,Gujarat
Gaurav Sharma,09-08-1997,+91 77321 27049,Nova Polymers LLP,LLP,RKEFN3225O,09RKEFN3225O8ZV,UDYAM-UP-21-8342240,Varanasi,Uttar Pradesh
Gaurav Kulkarni,20-10-1976,+91 77415 22456,EcoClean Gear Works LLP,LLP,XDQFE5872G,09XDQFE5872G1ZB,UDYAM-UP-27-8894906,Varanasi,Uttar Pradesh
